ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0.2,0.2,0.6,1,0.94435099,1.41431942,1.35759796,0.40382,0.4,0,0.6,0,0.4,0,0.17255,0,7.6,0,1,0,0,1,0,Hadoop Common
0.040816327,0.06122449,0.142857143,0.224489796,0.793468918,1.183760714,1.202164546,0.628202041,0.765306122,0.020408163,0.204081633,0.010204082,0.418367347,-0.0974875,0.195147887,0,2.765306122,0,1,0,0,1,0,Hadoop Common
0.25,0.75,0.25,0,0.979634933,1.54802255,1.549203175,0.323225,0,0,1,0,0.75,0,0.154225,0,4,0,1,0,0,1,0,Hadoop Common
0.01183432,0.076923077,0.142011834,0.366863905,1.021901542,1.512288503,1.496992679,0.464968047,0.473372781,0.017751479,0.50295858,0.00591716,0.609467456,-0.128171429,0.226613793,0,3.846153846,0,1,1,1,1,0,Hadoop Common
0.037231713,0.08760403,0.08716601,0.302671923,0.949533096,1.405888623,1.408237705,0.529383399,0.517739816,0.045554095,0.434077968,0.002628121,0.540954884,-0.128988535,0.192991859,1,3.925098555,0,1,1,1,1,0,Hadoop Common
0.012244898,0.114285714,0.063945578,0.130612245,0.85684745,1.252037205,1.260901213,0.700531837,0.760544218,0.040816327,0.191836735,0.006802721,0.383673469,-0.228652041,0.246117563,3,2.100680272,0,1,1,1,1,0,Hadoop Common
0,0.094594595,0.243243243,0.175675676,1.156359125,1.739376352,1.699614045,0.585390541,0.635135135,0.054054054,0.310810811,0,0.432432432,-0.067075,0.242402222,0,3.202702703,0,1,0,0,1,0,Hadoop Common
0,0.153846154,0.461538462,0.615384615,1.299243282,1.906279338,1.888618527,0.538230769,0.307692308,0.076923077,0.615384615,0,0.615384615,-0.1375,0.148657143,0,3.307692308,0,1,1,0,1,0,Hadoop Common
0.014285714,0.107142857,0.092857143,0.121428571,0.856133147,1.277675031,1.289556778,0.669205714,0.735714286,0.107142857,0.15,0.007142857,0.435714286,-0.25898,0.29770625,0,1.928571429,0,1,0,0,1,0,Hadoop Common
0.13163482,0.078556263,0.114649682,0.252653928,1.021383032,1.543976153,1.492127138,0.643501699,0.692144374,0.031847134,0.271762208,0.004246285,0.365180467,-0.157735556,0.224607965,0,4.250530786,0,1,1,0,1,0,Hadoop Common
0.013533835,0.202255639,0.106015038,0.232330827,0.736410842,1.090583907,1.081769971,0.604417669,0.660902256,0.022556391,0.315789474,0.00075188,0.589473684,-0.1427385,0.219887666,0,3.141353383,0,1,0,0,1,0,Hadoop Common
0.020154611,0.28713418,0.110988404,0.271949199,0.772316117,1.146149843,1.141698629,0.516593622,0.578685809,0.032578686,0.383213694,0.005521811,0.712037548,-0.140641957,0.224650326,8,3.966316952,0,1,1,1,1,0,Hadoop Common
0,0,0.3125,0.3125,1.145951224,1.661281569,1.648999242,0.2752125,0.5,0,0.5,0,0.4375,-0.045,0.224092308,0,4.5625,0,1,1,0,1,0,Hadoop Common
